contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250508C02400000,2025-04-01 19:43:32+00:00,2400.0,3227.91,2867.3,2885.4,0.0,0.0,7.0,17.0,1.0000000000000003e-05,True,REGULAR,USD
SPXW250508C03600000,2025-04-07 09:48:18+00:00,3600.0,1358.5,1677.8,1684.7,0.0,0.0,,5.0,1.0000000000000003e-05,True,REGULAR,USD
SPXW250508C04600000,2025-04-07 01:13:52+00:00,4600.0,494.9,696.8,704.3,0.0,0.0,,5.0,0.33528801925659174,True,REGULAR,USD
SPXW250508C04875000,2025-04-09 15:04:42+00:00,4875.0,314.3,444.0,450.7,0.0,0.0,,6.0,0.315688300704956,True,REGULAR,USD
SPXW250508C04900000,2025-04-09 14:32:24+00:00,4900.0,324.9,422.3,429.0,0.0,0.0,2.0,23.0,0.31346053977966304,True,REGULAR,USD
SPXW250508C04910000,2025-04-09 14:14:02+00:00,4910.0,305.78,415.5,422.5,0.0,0.0,,1.0,0.3193274855041503,True,REGULAR,USD
SPXW250508C04930000,2025-04-15 16:11:47+00:00,4930.0,540.33,416.2,428.3,0.0,0.0,,,0.3821396625518798,True,REGULAR,
SPXW250508C04950000,2025-04-09 14:47:30+00:00,4950.0,287.42,379.0,385.7,0.0,0.0,,12.0,0.3063233125686645,True,REGULAR,USD
SPXW250508C04960000,2025-04-09 14:57:11+00:00,4960.0,260.03,371.2,378.6,0.0,0.0,,42.0,0.3090126472473144,True,REGULAR,USD
SPXW250508C04970000,2025-04-08 18:47:40+00:00,4970.0,282.42,363.4,370.8,0.0,0.0,,6.0,0.3093712252044677,True,REGULAR,USD
SPXW250508C04975000,2025-04-10 20:02:34+00:00,4975.0,432.07,360.1,367.0,0.0,0.0,,1.0,0.30974506179809574,True,REGULAR,USD
SPXW250508C04980000,2025-04-15 14:46:07+00:00,4980.0,501.77,354.8,362.0,0.0,0.0,1.0,1.0,0.306723851776123,True,REGULAR,USD
SPXW250508C04990000,2025-04-08 18:45:18+00:00,4990.0,268.2,348.3,359.3,0.0,0.0,,20.0,0.320395590057373,True,REGULAR,USD
SPXW250508C05000000,2025-04-07 13:30:07+00:00,5000.0,201.0,339.3,345.9,0.0,0.0,2.0,2.0,0.30512169494628905,True,REGULAR,USD
SPXW250508C05010000,2025-04-09 14:00:35+00:00,5010.0,263.5,328.2,335.7,0.0,0.0,,3.0,0.2983926362609863,True,REGULAR,USD
SPXW250508C05020000,2025-04-09 14:14:52+00:00,5020.0,234.4,323.0,329.3,0.0,0.0,,1.0,0.3015282860565186,True,REGULAR,USD
SPXW250508C05025000,2025-04-08 13:34:14+00:00,5025.0,344.21,317.8,324.6,0.0,0.0,,1.0,0.29912886547088613,True,REGULAR,USD
SPXW250508C05030000,2025-04-07 16:10:29+00:00,5030.0,218.11,315.0,321.8,0.0,0.0,,3.0,0.3015359153747559,True,REGULAR,USD
SPXW250508C05040000,2025-04-08 18:47:40+00:00,5040.0,237.49,305.8,313.0,0.0,0.0,,52.0,0.29809509284973135,True,REGULAR,USD
SPXW250508C05050000,2025-04-15 14:46:07+00:00,5050.0,439.72,298.1,304.8,0.0,0.0,2.0,102.0,0.2960275476074219,True,REGULAR,USD
SPXW250508C05060000,2025-04-07 17:35:28+00:00,5060.0,235.3,291.2,298.4,0.0,0.0,,2.0,0.29814849807739247,True,REGULAR,USD
SPXW250508C05070000,2025-04-10 20:02:32+00:00,5070.0,356.71,283.4,290.4,0.0,0.0,,2.0,0.29620302192687986,True,REGULAR,USD
SPXW250508C05075000,2025-04-11 15:00:02+00:00,5075.0,342.13,274.6,287.5,0.0,0.0,,2.0,0.297747958869934,True,REGULAR,USD
SPXW250508C05080000,2025-04-10 18:15:22+00:00,5080.0,320.06,274.9,281.9,0.0,0.0,,1.0,0.2929376737213134,True,REGULAR,USD
SPXW250508C05090000,2025-04-08 18:45:18+00:00,5090.0,207.82,267.3,274.2,0.0,0.0,,20.0,0.29139273677825916,True,REGULAR,USD
SPXW250508C05100000,2025-04-11 16:29:35+00:00,5100.0,339.93,261.5,266.5,0.0,0.0,3.0,10.0,0.28967995483398434,True,REGULAR,USD
SPXW250508C05110000,2025-04-11 16:06:35+00:00,5110.0,337.58,254.5,260.2,0.0,0.0,,18.0,0.290923533706665,True,REGULAR,USD
