contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250508P02000000,2025-04-14 13:30:10+00:00,2000.0,0.11,0.0,0.2,0.0,0.0,4.0,3.0,1.185550947265625,False,REGULAR,USD
SPXW250508P02200000,2025-04-14 13:30:10+00:00,2200.0,0.26,0.0,0.25,0.0,0.0,4.0,107.0,1.091801416015625,False,REGULAR,USD
SPXW250508P02400000,2025-04-14 18:34:28+00:00,2400.0,0.29,0.1,0.3,0.0,0.0,2.0,43.0,1.0244189404296877,False,REGULAR,USD
SPXW250508P02600000,2025-04-15 19:43:36+00:00,2600.0,0.3,0.2,0.45,0.0,0.0,6.0,16.0,0.963867548828125,False,REGULAR,USD
SPXW250508P02800000,2025-04-16 16:01:26+00:00,2800.0,0.55,0.4,0.6,0.0,0.0,2.0,11.0,0.9030771411132812,False,REGULAR,USD
SPXW250508P03000000,2025-04-15 14:22:24+00:00,3000.0,0.8,0.7,0.9,0.0,0.0,5.0,98.0,0.8488784643554688,False,REGULAR,USD
SPXW250508P03200000,2025-04-15 14:29:54+00:00,3200.0,1.15,1.15,1.35,0.0,0.0,2.0,211.0,0.795778409423828,False,REGULAR,USD
SPXW250508P03400000,2025-04-15 15:09:34+00:00,3400.0,1.75,1.85,2.1,0.0,0.0,4.0,272.0,0.7458521508789062,False,REGULAR,USD
SPXW250508P03600000,2025-04-15 15:09:34+00:00,3600.0,2.55,3.0,3.2,0.0,0.0,5.0,163.0,0.6972686523437501,False,REGULAR,USD
SPXW250508P03800000,2025-04-15 14:17:37+00:00,3800.0,3.2,4.6,4.9,0.0,0.0,3.0,106.0,0.6477696356201172,False,REGULAR,USD
SPXW250508P04000000,2025-04-16 18:56:39+00:00,4000.0,7.86,6.7,7.0,0.0,0.0,100.0,323.0,0.5930063893127442,False,REGULAR,USD
SPXW250508P04100000,2025-04-16 14:51:14+00:00,4100.0,6.7,7.9,8.3,0.0,0.0,2.0,20.0,0.5640302386474609,False,REGULAR,USD
SPXW250508P04200000,2025-04-17 13:41:41+00:00,4200.0,8.3,9.5,9.9,0.4500003,5.732488,6.0,3688.0,0.5361069338989258,False,REGULAR,USD
SPXW250508P04300000,2025-04-17 13:40:59+00:00,4300.0,10.05,11.3,11.7,-2.8400002,-22.032583,2.0,46.0,0.5068866450500489,False,REGULAR,USD
SPXW250508P04400000,2025-04-17 13:49:14+00:00,4400.0,11.92,13.4,13.8,-3.1800003,-21.059605,11.0,101.0,0.47841402938842775,False,REGULAR,USD
SPXW250508P04500000,2025-04-16 19:54:12+00:00,4500.0,18.6,16.7,17.1,0.0,0.0,5.0,34.0,0.4526727096557618,False,REGULAR,USD
SPXW250508P04600000,2025-04-17 13:43:37+00:00,4600.0,17.75,20.5,21.0,-4.120001,-18.838594,2.0,1031.0,0.42532923309326176,False,REGULAR,USD
SPXW250508P04700000,2025-04-16 19:49:32+00:00,4700.0,24.24,25.8,26.3,-7.960001,-24.7205,1.0,478.0,0.3992522233581543,False,REGULAR,USD
